arrepentirtu,A RF E P E N T I R T U,arrepentirtu,,,,,
ártemis,AH R T E M I S,aqrtemis,,,,,
artesanu,A R T E S A N U,artesanu,,,,,
articulo,A R T I K U L O,articulo,,,,,
asamblea,A S A M B L E A,asamblea,,,,,
asdod,A S D O D,asdod,,,,,
aser,A S E R,aser,,,,,
asia,A S I A,asia,,,,,
asientu,A S I E N T U,asientu,,,,,
asíncrito,A S IH N K R I T O,asiqncrito,,,,,
asombre,A S O M B R E,asombre,,,,,
asón,A S OH N,asoqn,,,,,
asunción,A S U N S I OH N,asuncioqn,,,,,
asuntu,A S U N T U,asuntu,,,,,
atacar,A T A K A R,atacar,,,,,
atalia,A T A L I A,atalia,,,,,
ataque,A T A K E,atake,,,,,
atenas,A T E N A S,atenas,,,,,
atender,A T E N D E R,atender,,,,,
atrá,A T R AH,atraq,,,,,
au,A U,au,,,,,
auditorio,A U D I T O R I O,auditorio,,,,,
augusto,A U G U S T O,augusto,,,,,
aunque,A U N K E,aunke,,,,,
auria,A U R I A,auria,,,,,
autoridad,A U T O R I D A D,autoridad,,,,,
aviador,A B I A D O R,aviador,,,,,
avisarbe,A B I S A R B E,avisarbe,,,,,
avisarca',A B I S A R K AH,avisarcaqq,,,,,
ay,A Y,ay,,,,,
ayubu,A Y U B U,ayubu,,,,,
ayuda,A Y U D A,ayuda,,,,,
ayudante,A Y U D A N T E,ayudante,,,,,
ayunar,A Y U N A R,ayunar,,,,,
ayunarbe,A Y U N A R B E,ayunarbe,,,,,
ayunarca',A Y U N A R K AH,ayunarcaqq,,,,,
ayunárcabe,A Y U N AH R K A B E,ayunaqrcabe,,,,,
ayunardu,A Y U N A R D U,ayunardu,,,,,
ayunarlu',A Y U N A R L UH,ayunarluqq,,,,,
ayunartu,A Y U N A R T U,ayunartu,,,,,
ayuno,A Y U N O,ayuno,,,,,
azalea,A Z A L E A,azalea,,,,,
azufre,A Z U F R E,azufre,,,,,
azul,A Z U L,azul,,,,,
bá,B AH,baq,,,,,
ba',B AH,baqq,,,,,
ba'du,B AH D U,baqqdu,,,,,
ba'du',B AH D UH,baqqduqq,,,,,
ba'dudxaapa',B AH D U DX AAH P AH,baqqdudxaapaqq,,,,,
ba'duhuiini',B AH D U U IIH N IH,baqqduhuiiniqq,,,,,
baal,B AAH L,baal,,,,,
baba',B A B AH,babaqq,,,,,
babilonia,B A B I L O N I A,babilonia,,,,,
baca'nda',B A K AH N D AH,bacaqqndaqq,,,,,
bacaanda,B A K AAH N D A,bacaanda,,,,,
bacaanda',B A K AAH N D AH,bacaandaqq,,,,,
bacha,B A CH A,bacha,,,,,
bacuza,B A K U Z A,bacuza,,,,,
badu,B A D U,badu,,,,,nnguiu
bagazu,B A G A Z U,bagazu,,,,,
bago,B A G O,bago,,,,,
bahía,B AIH A,bahiqa,,,,,
bailo,B A I L O,bailo,,,,,
bajo,B A J O,bajo,,,,,
balaaga',B A L AAH G AH,balaagaqq,,,,,
balaam,B A L AAH M,balaam,,,,,
balac,B A L A K,balac,,,,,
balanza,B A L A N Z A,balanza,,,,,
balconeria,B A L K O N E R I A,balconeria,,,,,
baltazar,B A L T A Z A R,baltazar ,,,,,
bancu,B A N K U,bancu,,,,,
banda,B A N D A,banda,,,,,
bandá',B A N D AH,bandaqqq,,,,,
bandaa,B A N D AAH,bandaa,,,,,
bandaga,B A N D A G A,bandaga,,,,,
bandeja,B A N D E J A,bandeja,,,,,
bangu',B A N G UH,banguqq,,,,,
banguhuiini',B A N G U U IIH N IH,banguhuiiniqq,,,,,
bansefi,B A N S E F I        ,bansefi,,,,,
bapa,B A P A,bapa,,,,,
bar,B A R,bar,,,,,
baraquías,B A R A K IH A S,barakiqas,,,,,
barbaru,B A R B A R U,barbaru,,,,,
barcu,B A R K U,barcu,,,,,
barrabás,B A RF A B AH S,barrabaqs,,,,,
barracu,B A RF A K U,barracu,,,,,
barranca,B A RF A N K A,barranca,,,,,
barre,B A RF E,barre,,,,,
barreno,B A RF E N O,barreno,,,,,
barres,B A RF E S,barres,,,,,
barro,B A RF O,barro,,,,,
barsabás,B A R S A B AH S,barsabaqs,,,,,
bartimeo,B A R T I M E O,bartimeo,,,,,
bartolo,B A R T O L O,bartolo,,,,,
bartolomé,B A R T O L O M EH,bartolomeq,,,,,
base,B A S E,base,,,,,
bastón,B A S T OH N,bastoqn,,,,,
bata,B A T A,bata,,,,,
bataná',B A T A N AH,batanaqqq,,,,,
batanabe,B A T A N A B E,batanabe,,,,,
batanalu',B A T A N A L UH,batanaluqq,,,,,
batananu,B A T A N A N U,batananu,,,,,
batanaya',B A T A N A Y AH,batanayaqq,,,,,
batañee,B A T A GN EEH,batanwee,,,,,
batañeebe,B A T A GN EEH B E,batanweebe,,,,,
batañeenu,B A T A GN EEH N U,batanweenu,,,,,
batañeetu,B A T A GN EEH T U,batanweetu,,,,,
bautismo,B A U T I S M O,bautismo,,,,,
bautista,B A U T I S T A,bautista,,,,,
bautizar,B A U T I Z A R,bautizar,,,,,
bautizarlu',B A U T I Z A R L UH,bautizarluqq,,,,,
bautizarnu,B A U T I Z A R N U,bautizarnu,,,,,
bautizartu,B A U T I Z A R T U,bautizartu,,,,,
baxha,B A XH A,baxha,,,,,
bayu',B A Y UH,bayuqq,,,,,
bazendu,B A Z E N D U,bazendu,,,,,
be,B E,be,,,,,
bé,B EH,beq,,,,,
be'ñe',B EH GN EH,beqqnweqq,,,,,
be'za,B EH Z A,beqqza,,,,,
beatriz,B E A T R I Z ,beatriz ,,,,,
beda,B E D A,beda,,,,,
bedagaca',B E D A G A K AH,bedagacaqq,,,,,
bedagune',B E D A G U N EH,bedaguneqq,,,,,
bedaguuya',B E D A G UUH Y AH,bedaguuyaqq,,,,,
bedaguuyaca',B E D A G UUH Y A K AH,bedaguuyacaqq,,,,,
bedananda,B E D A N A N D A,bedananda,,,,,
bedandá,B E D A N D AH,bedandaq,,,,,
bedandaca',B E D A N D A K AH,bedandacaqq,,,,,
bedandácabe,B E D A N D AH K A B E,bedandaqcabe,,,,,
bedandadu,B E D A N D A D U,bedandadu,,,,,
bedanduaa',B E D A N D U AAH,bedanduaaqq,,,,,
bedané,B E D A N EH,bedaneq,,,,,
bedaneca',B E D A N E K AH,bedanecaqq,,,,,
bedanécabe,B E D A N EH K A B E,bedaneqcabe,,,,,
bedania',B E D A N I AH,bedaniaqq,,,,,
bedatidxe',B E D A T I DX EH,bedatidxeqq,,,,,
bedxe,B E DX E,bedxe,,,,,
bee,B EEH,bee,,,,,
beeda,B EEH D A,beeda,,,,,
beedabe,B EEH D A B E,beedabe,,,,,
beedaca',B EEH D A K AH,beedacaqq,,,,,
beedacabe,B EEH D A K A B E,beedacabe,,,,,
beedalu',B EEH D A L UH,beedaluqq,,,,,
beedandabe,B EEH D A N D A B E,beedandabe,,,,,
beedandalu',B EEH D A N D A L UH,beedandaluqq,,,,,
beedandézaca',B EEH D A N D EH Z A K AH,beedandeqzacaqq,,,,,
beedanebe,B EEH D A N E B E,beedanebe,,,,,
beedanécabe,B EEH D A N EH K A B E,beedaneqcabe,,,,,
beedanetu,B EEH D A N E T U,beedanetu,,,,,
beedu',B EEH D UH,beeduqq,,,,,
beedxe,B EEH DX E,beedxe,,,,,
beedxe',B EEH DX EH,beedxeqq,,,,,
beela,B EEH L A,beela,,,,,
beenda',B EEH N D AH,beendaqq,,,,,
beeu,B EEH U,beeu,,,,,
bela,B E L A,bela,,,,,
belcebú,B E L S E B UH,belcebuq,,,,,
bele,B E L E,bele,,,,,
beleguí,B E L E G IH,beleguiq,,,,,
belehuiini',B E L E U IIH N IH,belehuiiniqq,,,,,
belén,B E L EH N,beleqn,,,,,
belial,B E L I A L,belial,,,,,
bella,B E Y A,bella ,,,,,
bellos,B E Y O S,bellos,,,,,
benda,B E N D A,benda,,,,,
benda,B E N D A  ,benda,,,,,
benda',B E N D AH,bendaqq,,,,,
béndabe,B EH N D A B E,beqndabe,,,,,
bendahuiini',B E N D A U IIH N IH,bendahuiiniqq,,,,,
béndalu',B EH N D A L UH,beqndaluqq,,,,,
bendicion,B E N D I S I O N,bendicion,,,,,
beneficiarnu,B E N E F I S I A R N U,beneficiarnu,,,,,
beneficiartu,B E N E F I S I A R T U,beneficiartu,,,,,
beneficiu,B E N E F I S I U,beneficiu,,,,,
benitez,B E N I T E Z,benitez,,,,,
benja,B E N J A,benja,,,,,
benjamín,B E N J A M IH N,benjamiqn,,,,,
beñe,B E GN E,benwe,,,,,
beor,B E O R,beor,,,,,
beque',B E K EH,bequeqq,,,,,
bere,B E R E,bere,,,,,
berea,B E R E A,berea,,,,,
berenice,B E R E N I S E,berenice,,,,,
berilo,B E R I L O,berilo,,,,,
bernabé,B E R N A B EH,bernabeq,,,,,
bestia,B E S T I A,bestia,,,,,
betania,B E T A N I A,betania,,,,,
betfagué,B E T F A G EH,betfagueq,,,,,
beti,B E T I,beti,,,,,
beto,B E T O,beto,,,,,
betsaida,B E T S A I D A,betsaida,,,,,
betu,B E T U,betu,,,,,
betzata,B E T Z A T A,betzata,,,,,
beu,B E U,beu,,,,,
beu',B E UH,beuqq,,,,,
bexu,B E X U,bexu,,,,,
beza,B E Z A,beza,,,,,
bi,B I,bi,,,,,
bi',B IH,biqq,,,,,
bi'che',B IH CH EH,biqqcheqq,,,,,
bi'chi',B IH CH IH,biqqchiqq,,,,,
bí'chibe,B IH CH I B E,biqqqchibe,,,,,
bí'chica',B IH CH I K AH,biqqqchicaqq,,,,,
bí'chilu',B IH CH I L UH,biqqqchiluqq,,,,,
bí'chisitu,B IH CH I S I T U,biqqqchisitu,,,,,
bí'chitu,B IH CH I T U,biqqqchitu,,,,,
bi'chu',B IH CH UH,biqqchuqq,,,,,
bi'cu',B IH K UH,biqqcuqq,,,,,
bi'cuhuiini',B IH K U U IIH N IH,biqqcuhuiiniqq,,,,,
bi'ini,B IH I N I,biqqini,,,,,
bi'ni,B IH N I,biqqni,,,,,
bi'ni',B IH N IH,biqqniqq,,,,,
bí'nibe,B IH N I B E,biqqqnibe,,,,,
bí'nica                  ,B IH N I K A              ,biqqqnica ,,,,,
bí'nica',B IH N I K AH,biqqqnicaqq,,,,,
bí'nicabe,B IH N I K A B E,biqqqnicabe,,,,,
bí'nilu',B IH N I L UH,biqqqniluqq,,,,,
bí'nime,B IH N I M E,biqqqnime,,,,,
bi'niné,B IH N I N EH,biqqnineq,,,,,
bí'ninebe,B IH N I N E B E,biqqqninebe,,,,,
bí'niru',B IH N I R UH,biqqqniruqq,,,,,
bi'nirúcabe,B IH N I R UH K A B E,biqqniruqcabe,,,,,
bí'nisibe,B IH N I S I B E,biqqqnisibe,,,,,
bí'nitu,B IH N I T U,biqqqnitu,,,,,
bi'nu',B IH N UH,biqqnuqq,,,,,
bi'ya',B IH Y AH,biqqyaqq,,,,,
bí'yabe,B IH Y A B E,biqqqyabe,,,,,
bí'yaca',B IH Y A K AH,biqqqyacaqq,,,,,
bí'yacabe,B IH Y A K A B E,biqqqyacabe,,,,,
bí'yalu',B IH Y A L UH,biqqqyaluqq,,,,,
bí'yatu,B IH Y A T U,biqqqyatu,,,,,
bia,B I A,bia,,,,,
biá,B I AH,biaq,,,,,
biá,B I AH,biaq,,,,,
bia',B I AH,biaqq,,,,,
bia'ca,B I AH K A,biaqqca,,,,,
biá'cati',B I AH K A T IH,biaqqqcatiqq,,,,,
biá'queca,B I AH K E K A,biaqqqkeca,,,,,
bia'si,B I AH S I,biaqqsi,,,,,
bia'ya',B I AH Y AH,biaqqyaqq,,,,,
biaa,B I AAH,biaa,,,,,
biáa,B I AH A,biaqa,,,,,
biaabe,B I AAH B E,biaabe,,,,,
biaaca',B I AAH K AH,biaacaqq,,,,,
biaadxa',B I AAH DX AH,biaadxaqq,,,,,
biaana,B I AAH N A,biaana,,,,,
biaana',B I AAH N AH,biaanaqq,,,,,
biaanabe,B I AAH N A B E,biaanabe,,,,,
biaanaca',B I AAH N A K AH,biaanacaqq,,,,,
biaanacabe,B I AAH N A K A B E,biaanacabe,,,,,
biaanadu,B I AAH N A D U,biaanadu,,,,,
biaanadxí,B I AAH N A DX IH,biaanadxiq,,,,,
biaanadxidu,B I AAH N A DX I D U,biaanadxidu,,,,,
biaanané,B I AAH N A N EH,biaananeq,,,,,
biaananebe,B I AAH N A N E B E,biaananebe,,,,,
biaananeca',B I AAH N A N E K AH,biaananecaqq,,,,,
biaananedu,B I AAH N A N E D U,biaananedu,,,,,
biaananu,B I AAH N A N U,biaananu,,,,,
biaanaru',B I AAH N A R UH,biaanaruqq,,,,,
biaanarube,B I AAH N A R U B E,biaanarube,,,,,
biaanasibe,B I AAH N A S I B E,biaanasibe,,,,,
biaanda',B I AAH N D AH,biaandaqq,,,,,
biaandelú,B I AAH N D E L UH ,biaandeluq,,,,,
biaani',B I AAH N IH,biaaniqq,,,,,
biaanu,B I AAH N U,biaanu,,,,,
biaaxa,B I AAH X A,biaaxa,,,,,
biaaxha,B I AAH XH A,biaaxha,,,,,
biaaxhácabe,B I AAH XH AH K A B E,biaaxhaqcabe,,,,,
biaazi',B I AAH Z IH,biaaziqq,,,,,
biaazibe,B I AAH Z I B E,biaazibe,,,,,
biaba,B I A B A,biaba,,,,,
biaba',B I A B AH,biabaqq,,,,,
biábabe,B I AH B A B E,biaqbabe,,,,,
biábaca',B I AH B A K AH,biaqbacaqq,,,,,
biábadu,B I AH B A D U,biaqbadu,,,,,
biábasibe,B I AH B A S I B E,biaqbasibe,,,,,
biabe,B I A B E,biabe,,,,,
biácacabe,B I AH K A K A B E ,biaqcacabe,,,,,
biadxi,B I A DX I,biadxi,,,,,
biaje,B I A J E,biaje,,,,,
biale,B I A L E,biale,,,,,
biana,B I A N A,biana,,,,,
bianda,B I A N D A,bianda,,,,,
biándabe,B I AH N D A B E,biaqndabe,,,,,
biándaca',B I AH N D A K AH,biaqndacaqq,,,,,
biándalu',B I AH N D A L UH,biaqndaluqq,,,,,
bianga,B I A N G A,bianga,,,,,
biani,B I A N I,biani,,,,,
biasa,B I A S A,biasa,,,,,
biasa',B I A S AH,biasaqq,,,,,
biásabe,B I AH S A B E,biaqsabe,,,,,
biásaca',B I AH S A K AH,biaqsacaqq,,,,,
biasaguxooñe',B I A S A G U X OOH GN EH,biasaguxoonweqq,,,,,
biaxa,B I A X A,biaxa,,,,,
biáxaca',B I AH X A K AH,biaqxacaqq,,,,,
biazee,B I A Z EEH,biazee,,,,,
bibaagu,B I B AAH G U,bibaagu,,,,,
bibaaguneecabe,B I B AAH G U N EEH K A B E,bibaaguneecabe,,,,,
bibaani',B I B AAH N IH,bibaaniqq,,,,,
bibane',B I B A N EH,bibaneqq,,,,,
bibani,B I B A N I,bibani,,,,,
bibánibe,B I B AH N I B E,bibaqnibe,,,,,
bibánica',B I B AH N I K AH,bibaqnicaqq,,,,,
bibánilu',B I B AH N I L UH,bibaqniluqq,,,,,
bibaniné,B I B A N I N EH,bibanineq,,,,,
bibaninebe,B I B A N I N E B E,bibaninebe,,,,,
bibanineecabe,B I B A N I N EEH K A B E,bibanineecabe,,,,,
bibáninu,B I B AH N I N U,bibaqninu,,,,,
bibánitu,B I B AH N I T U,bibaqnitu,,,,,
bibí,B I B IH,bibiq,,,,,
bibiá,B I B I AH ,bibiaq,,,,,
bibiaa,B I B I AAH,bibiaa,,,,,
bibibe,B I B I B E,bibibe,,,,,
bibidxi,B I B I DX I,bibidxi,,,,,
bibidxibe,B I B I DX I B E,bibidxibe,,,,,
bibigueta',B I B I G E T AH,bibiguetaqq,,,,,
bibiguétabe,B I B I G EH T A B E,bibigueqtabe,,,,,
bibiguétaca',B I B I G EH T A K AH,bibigueqtacaqq,,,,,
bibiguétacabe,B I B I G EH T A K A B E,bibigueqtacabe,,,,,
bibiguétadu,B I B I G U EH T A D U,bibigueqtadu,,,,,
bibiguetané,B I B I G E T A N EH,bibiguetaneq,,,,,
bibiguetanebe,B I B I G E T A N E B E,bibiguetanebe,,,,,
bibiguétanu,B I B I G EH T A N U,bibigueqtanu,,,,,
bibitu,B I B I T U,bibitu,,,,,
bicá,B I K AH,bicaq,,,,,
bica'diágadu,B I K AH D I AH G A D U,bicaqqdiaqgadu,,,,,
bica'du,B I K AH D U,bicaqqdu,,,,,
bicaa,B I K AAH,bicaa,,,,,
bicaa',B I K AAH,bicaaqq,,,,,
bicaabe,B I K AAH B E,bicaabe,,,,,
bicaaca',B I K AAH K AH,bicaacaqq,,,,,
bicaacabe,B I K AAH K A B E,bicaacabe,,,,,
bicaache',B I K AAH CH EH,bicaacheqq,,,,,
bicaachi',B I K AAH CH IH,bicaachiqq,,,,,
bicaachica',B I K AAH CH I K AH,bicaachicaqq,,,,,
bicaachicabe,B I K AAH CH I K A B E,bicaachicabe,,,,,
bicaachilú,B I K AAH CH I L UH,bicaachiluq,,,,,
bicaachilu',B I K AAH CH I L UH,bicaachiluqq,,,,,
bicaachilube,B I K AAH CH I L U B E,bicaachilube,,,,,
bicaadiaga,B I K AAH D I A G A,bicaadiaga,,,,,
bicaadiaga',B I K AAH D I A G AH,bicaadiagaqq,,,,,
bicaadiágaca',B I K AAH D I AH G A K AH,bicaadiaqgacaqq,,,,,
bicaadiágacabe,B I K AAH D I AH G A K A B E,bicaadiaqgacabe,,,,,
bicaadiágalu',B I K AAH D I AH G A L UH,bicaadiaqgaluqq,,,,,
bicaadiágatu,B I K AAH D I AH G A T U,bicaadiaqgatu,,,,,
bicaaguica',B I K AAH G I K AH,bicaaguicaqq,,,,,
bicaalú,B I K AAH L UH,bicaaluq,,,,,
bicaaluca',B I K AAH L U K AH,bicaalucaqq,,,,,
bicaaná',B I K AAH N AH,bicaanaqqq,,,,,
bicaanabe,B I K AAH N A B E,bicaanabe,,,,,
bicaanácabe,B I K AAH N AH K A B E,bicaanaqcabe,,,,,
bicaanatu,B I K AAH N A T U,bicaanatu,,,,,
bicaani,B I K AAH N I,bicaani,,,,,
bicaarídxibe,B I K AAH R IH DX I B E,bicaariqdxibe,,,,,
bicaasícabe,B I K AAH S IH K A B E,bicaasiqcabe,,,,,
bicaatu,B I K AAH T U,bicaatu,,,,,
bicabe',B I K A B EH,bicabeqq,,,,,
bicabi,B I K A B I,bicabi,,,,,
bicábibe,B I K AH B I B E,bicaqbibe,,,,,
bicábica',B I K AH B I K AH,bicaqbicaqq,,,,,
bicábicabe,B I K AH B I K A B E,bicaqbicabe,,,,,
bicábilu',B I K AH B I L UH,bicaqbiluqq,,,,,
bicachiluca',B I K A CH I L U K AH,bicachilucaqq,,,,,
bicahui,B I K A U I,bicahui,,,,,
bicame',B I K A M EH,bicameqq,,,,,
bichá,B I CH AH,bichaq,,,,,
bichaa,B I CH AAH,bichaa,,,,,
bichaaga,B I CH AAH G A,bichaaga,,,,,
bichabe,B I CH A B E,bichabe,,,,,
bichaca',B I CH A K AH,bichacaqq,,,,,
bichácabe,B I CH AH K A B E,bichaqcabe,,,,,
bichaga,B I CH A G A,bichaga,,,,,
bichagalúbe,B I CH A G A L UH B E,bichagaluqbe,,,,,
bichagalúcabe,B I CH A G A L UH K A B E,bichagaluqcabe,,,,,
bichaganá',B I CH A G A N AH,bichaganaqqq,,,,,
bichagana'ya',B I CH A G A N AH Y AH,bichaganaqqyaqq,,,,,
bichaganaca',B I CH A G A N A K AH,bichaganacaqq,,,,,
bichaganácabe,B I CH A G A N AH K A B E,bichaganaqcabe,,,,,
bichaganalu',B I CH A G A N A L UH,bichaganaluqq,,,,,
bicháxhinnibe,B I CH AH XH I NL I B E,bichaqxhinnibe,,,,,
biche',B I CH EH,bicheqq,,,,,
biche'du,B I CH EH D U,bicheqqdu,,,,,
bicheche,B I CH E CH E,bicheche,,,,,
bichee,B I CH EEH,bichee,,,,,
bicheé',B I CH E EH,bicheeqqq,,,,,
